City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,ijui,-28.3878,-53.9147,21.08,79,14,0.91,BR,1711765095
238,ongjin,37.9347,125.3619,9.5,50,99,1.79,KP,1711765096
239,paciran,-6.8767,112.3761,28.93,79,18,2.13,ID,1711765096
240,cannonvale,-20.2833,148.7,27.66,58,40,8.39,AU,1711765097
241,ostersund,63.1792,14.6357,-0.75,100,100,2.68,SE,1711765097
242,kailua-kona,19.6406,-155.9956,25.98,86,75,4.12,US,1711765066
243,dickinson,29.4608,-95.0513,20.55,77,0,3.6,US,1711764930
244,ketchikan,55.3422,-131.6461,11.26,30,0,5.14,US,1711765099
245,labrador city,52.9463,-66.9114,-0.05,97,100,4.63,CA,1711764913
246,tamiahua,21.2667,-97.45,22.67,75,18,7.19,MX,1711765100
247,tutong,4.8,114.65,32.05,66,25,0.66,BN,1711765028
248,sao joao da barra,-21.6403,-41.0511,24.56,94,100,4.95,BR,1711765101
249,swift current,50.2834,-107.8014,-3.54,62,66,4.06,CA,1711765102
250,qorovulbozor,39.5006,64.7936,2.84,55,14,3.38,UZ,1711765102
251,covington,39.0837,-84.5086,16.23,52,0,3.09,US,1711764859
252,akureyri,65.6835,-18.0878,-1.04,86,100,5.66,IS,1711765103
253,yeed,4.55,43.0333,26.09,63,19,4.07,SO,1711765104
254,inhambane,-23.865,35.3833,22.0,87,13,2.77,MZ,1711765104
255,howrah,22.5892,88.3103,29.0,84,75,1.54,IN,1711765105
256,ciudad constitucion,25.0369,-111.6644,19.61,49,25,4.56,MX,1711764948
257,fenoarivo be,-18.4333,46.5667,17.68,94,38,0.67,MG,1711765106
258,el hamma,33.8915,9.7963,20.53,22,3,2.91,TN,1711765107
259,walla walla,46.0646,-118.343,12.48,61,100,3.09,US,1711765076
260,peace river,56.2501,-117.286,-1.95,40,0,1.81,CA,1711765108
261,fort bragg,35.139,-79.006,16.32,41,0,2.06,US,1711765108
262,conduaga,8.862,117.4893,31.61,55,70,0.87,PH,1711765109
263,page,36.9147,-111.4558,17.28,20,100,6.71,US,1711765012
264,kavaratti,10.5669,72.642,28.14,77,88,2.82,IN,1711765109
265,saudarkrokur,65.7461,-19.6394,-2.46,85,100,9.51,IS,1711765111
266,media luna,20.1419,-77.435,24.6,66,96,9.16,CU,1711765111
267,val-d'or,48.1002,-77.7828,-3.91,82,96,3.65,CA,1711765111
268,lorengau,-2.0226,147.2712,28.74,79,100,2.59,PG,1711765112
269,vila franca do campo,37.7167,-25.4333,15.23,84,100,8.35,PT,1711765112
270,kapit,2.0167,112.9333,28.54,80,99,0.48,MY,1711765114
271,susuman,62.7833,148.1667,-5.01,86,100,4.02,RU,1711765114
272,crane,31.3974,-102.3501,23.32,24,97,3.21,US,1711765114
273,happy valley-goose bay,53.3168,-60.3315,0.17,100,100,8.23,CA,1711765115
274,haiku-pauwela,20.9219,-156.3051,25.68,69,40,9.26,US,1711765115
275,cedral,23.8,-100.7333,23.89,12,0,3.86,MX,1711765116
276,zhezqazghan,47.7833,67.7667,-1.68,93,100,6.0,KZ,1711765116
277,daru,-9.0763,143.2092,30.46,70,100,1.84,PG,1711765117
278,hassi messaoud,31.6804,6.0729,20.56,14,22,5.09,DZ,1711765117
279,al ghayzah,16.2079,52.176,24.97,64,54,1.64,YE,1711765118
280,verkhnevilyuysk,63.4453,120.3167,-16.84,88,54,1.52,RU,1711765118
281,fortuna,40.5982,-124.1573,11.48,84,20,0.0,US,1711765119
282,port alfred,-33.5906,26.891,16.77,97,88,6.84,ZA,1711764918
283,holualoa,19.6228,-155.9522,23.91,86,75,4.12,US,1711765120
284,la passe,45.5549,-0.8967,7.21,93,100,5.8,FR,1711765121
285,beroroha,-21.6667,45.1667,21.55,78,71,0.62,MG,1711765121
286,popondetta,-8.7537,148.2534,33.27,54,100,2.47,PG,1711765122
287,walvis bay,-22.9575,14.5053,13.53,94,2,3.6,NA,1711765122
288,naze,28.3667,129.4833,19.85,61,100,2.65,JP,1711765123
289,fort st. john,56.2499,-120.8529,-0.73,38,0,2.61,CA,1711764908
290,jacksonville,30.3322,-81.6556,17.0,73,0,2.57,US,1711764868
291,naestved,55.2299,11.7609,4.88,92,99,2.99,DK,1711765125
292,shakawe,-18.3667,21.85,20.72,85,100,1.57,BW,1711765125
293,sao jose da coroa grande,-8.8978,-35.1478,27.81,76,97,4.08,BR,1711765126
294,iquique,-20.2208,-70.1431,21.66,79,47,0.93,CL,1711764830
295,ulan bator,47.9077,106.8832,-0.93,51,40,1.0,MN,1711765127
296,fuxin,42.0156,121.6589,3.83,18,0,8.38,CN,1711765119
297,springbok,-29.6643,17.8865,21.09,35,0,2.6,ZA,1711765128
298,bodaybo,57.8506,114.1933,-12.16,78,47,0.68,RU,1711765129
299,greenland,43.0362,-70.8328,6.24,53,75,9.77,US,1711765083
300,micheweni,-4.9667,39.8333,28.09,79,90,2.91,TZ,1711765130
301,cidade velha,14.9167,-23.6167,21.26,68,40,7.2,CV,1711765130
302,belyy yar,53.6039,91.3903,3.94,75,0,2.0,RU,1711765131
303,sola,-13.8833,167.55,26.89,79,100,4.49,VU,1711765131
304,pekanbaru,0.5333,101.45,28.18,89,99,3.09,ID,1711765132
305,morehead city,34.7229,-76.726,16.0,79,0,7.2,US,1711765132
306,williams lake,52.1415,-122.1445,3.19,55,33,1.97,CA,1711764901
307,coquimbo,-29.9533,-71.3436,17.48,88,48,2.24,CL,1711765075
308,tadine,-21.55,167.8833,25.34,63,12,6.17,NC,1711765134
309,floro,61.5996,5.0328,8.04,76,100,7.2,NO,1711765134
310,hirara,24.8,125.2833,23.07,84,99,0.21,JP,1711765135
311,port isabel,26.0734,-97.2086,22.25,77,0,6.69,US,1711765135
312,namibe,-15.1961,12.1522,23.34,86,100,1.94,AO,1711765135
313,souillac,-20.5167,57.5167,25.75,94,75,1.54,MU,1711765136
314,chonchi,-42.6128,-73.8092,10.56,92,83,0.95,CL,1711765137
315,tsiombe,-25.3,45.4833,21.79,96,94,1.7,MG,1711765137
316,lerwick,60.1545,-1.1494,7.0,90,62,5.98,GB,1711765138
317,revda,56.801,59.9303,-5.48,92,85,4.46,RU,1711765139
318,urangan,-25.3,152.9,27.89,64,9,4.92,AU,1711765139
319,codrington,-38.2667,141.9667,23.06,42,0,3.82,AU,1711765140
320,gaigeturi,33.4644,126.3183,17.16,67,100,9.25,KR,1711765140
321,amahai,-3.3333,128.9167,30.33,68,58,0.99,ID,1711765141
322,tolanaro,-25.0319,46.9987,22.31,94,100,3.6,MG,1711765141
323,kayangel,8.0823,134.7173,28.13,81,23,8.32,PW,1711765142
324,meadow lakes,61.6247,-149.6011,5.5,56,40,5.66,US,1711765142
325,cuatro cienegas de carranza,26.9833,-102.0833,25.42,36,95,3.31,MX,1711765143
326,quellon,-43.1167,-73.6167,7.89,89,10,2.52,CL,1711764977
327,langepas,61.2544,75.2124,-6.2,95,97,3.76,RU,1711765143
328,malanje,-9.5402,16.341,18.35,98,100,0.54,AO,1711765144
329,nogliki,51.8333,143.1667,-0.37,90,100,5.36,RU,1711765144
330,shuangjiang,26.1547,109.7138,22.21,75,86,3.74,CN,1711765145
331,gadzhiyevo,69.2551,33.3362,-13.58,100,90,1.93,RU,1711765146
332,horta,38.5333,-28.6333,15.57,82,99,6.26,PT,1711764856
333,prince rupert,54.3161,-130.3201,9.05,61,0,5.14,CA,1711765147
334,zhongshu,24.5167,103.7667,21.3,44,10,6.65,CN,1711765148
335,mocorito,25.4833,-107.9167,19.73,51,3,1.07,MX,1711765149
